course,crn,instructor,days,start_time,end_time
CHEM 213,20551,"Yearty, Kasey Leigh",Fri,09:00,09:50
CHEM 213,22462,"Yearty, Kasey Leigh",Fri,10:00,10:50
CHEM 213,24092,"Yearty, Kasey Leigh",Fri,11:00,11:50
CHEM 213,24051,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,13:00,13:50
CHEM 213,22496,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,14:00,14:50
CHEM 213,23306,"Yearty, Kasey Leigh",Fri,10:00,10:50
CHEM 213,24027,"Yearty, Kasey Leigh Nankya, Rosalynn",Fri,11:00,11:50
CHEM 213,24029,"Yearty, Kasey Leigh",Fri,13:00,13:50
CHEM 215,21106,"McNeil, Carrie",Mon,13:00,16:30
CHEM 215,24461,"McNeil, Carrie Nankya, Rosalynn",Mon,18:30,22:00
CHEM 215,24462,"McNeil, Carrie",Tue,13:00,16:30
CHEM 215,24463,"McNeil, Carrie Nankya, Rosalynn",Tue,18:30,22:00
CHEM 302,21314,"Bagchi, Kushal","Tue,Thu",10:50,12:05
CHEM 313,22962,"Zubarev, Eugene","Tue,Thu",10:50,12:05
CHEM 314,22963,"O'Leary, Lesley",Mon,09:00,09:50
CHEM 314,22964,"O'Leary, Lesley",Mon,10:00,10:50
CHEM 314,22965,"O'Leary, Lesley",Mon,11:00,11:50
CHEM 314,22966,"O'Leary, Lesley",Mon,13:00,13:50
CHEM 314,24465,"O'Leary, Lesley",Mon,14:00,14:50
CHEM 320,21714,"Ball, Zachary","Tue,Thu",10:50,12:05
CHEM 320,21714,"Ball, Zachary",Fri,14:00,14:50
CHEM 360,20033,"Yruegas, Samantha","Tue,Thu",08:00,09:15
CHEM 362,21077,"Yruegas, Samantha",Tue,15:00,15:50
CHEM 362,21076,"Yruegas, Samantha",Thu,15:00,15:50
CHEM 365,23234,"Yearty, Kasey Leigh",Tue,13:30,14:30
CHEM 365,23234,"Yearty, Kasey Leigh",Thu,13:30,17:30
CHEM 368,20419,"Nienhaus, Lea",Tue,13:30,17:30
CHEM 368,24167,"Nienhaus, Lea",Thu,13:30,17:30
CHEM 369,25772,"Mou, Quanbing",Tue,13:30,14:30
CHEM 369,25772,"Mou, Quanbing",Thu,13:30,17:30
CHEM 420,20151,"Kolomeisky, Anatoly","Mon,Wed",08:00,09:15
CHEM 454,25779,"Ma, Yuan","Mon,Wed",19:00,20:15
CHEM 475,21518,"Hernandez Sanchez, Raul","Mon,Wed,Fri",10:00,10:50
CHEM 511,24467,"Sarlah, David","Tue,Thu",08:00,09:15
CHEM 520,20550,"Kolomeisky, Anatoly","Mon,Wed",08:00,09:15
CHEM 525,24468,"Weisman, Bruce","Mon,Wed,Fri",10:00,10:50
CHEM 531,24469,"Scuseria, Gustavo","Wed,Fri",11:00,12:15
CHEM 545,23478,"West, Julian","Tue,Thu",16:00,17:15
CHEM 548,23479,"Hartgerink, Jeffrey","Mon,Wed,Fri",09:00,09:50
CHEM 553,22348,"Kurti, Laszlo","Mon,Wed",11:00,12:15
CHEM 554,25780,"Ma, Yuan","Mon,Wed",19:00,20:15
CHEM 558,22090,"Jones, Matt","Tue,Thu",10:50,12:05
CHEM 565,23899,"Zubarev, Eugene","Mon,Wed",08:00,09:15
CHEM 575,21517,"Hernandez Sanchez, Raul","Mon,Wed,Fri",10:00,10:50
CHEM 600,20148,"Neumann, Oara",Mon,12:00,12:50
CHEM 600,20034,"Kurti, Laszlo",Tue,12:15,13:29
CHEM 600,24470,"Jones, Matt",Thu,12:15,13:15
CHEM 600,20149,"Ma, Yuan Hartgerink, Jeffrey",Fri,13:00,14:15
CHEM 656,22091,"Renata, Hans","Tue,Thu",09:25,10:40
BIOS 122,21777,"Johnson, Cassidy","Tue,Thu",10:50,12:05
BIOS 128,22095,"Flynn, Jonathan Lefeldt, Nele",Fri,13:00,13:50
BIOS 201,21778,"Ross, Cana","Tue,Thu",09:25,10:40
BIOS 202,21779,"Solomon, Scott","Mon,Wed,Fri",09:00,09:50
BIOS 204,21780,"Novak, Joseph",Wed,17:00,18:00
BIOS 207,23916,"Novak, Joseph","Tue,Thu",16:00,17:59
BIOS 211,21781,"Catanese, Jamie Phillips, Dereth",Mon,13:00,16:50
BIOS 211,21782,"Catanese, Jamie Phillips, Dereth",Tue,13:00,16:50
BIOS 211,21783,"Catanese, Jamie Phillips, Dereth",Wed,13:00,16:50
BIOS 211,21784,"Catanese, Jamie Phillips, Dereth",Thu,13:00,16:50
BIOS 211,21785,"Catanese, Jamie Phillips, Dereth",Fri,13:00,16:50
BIOS 211,21786,"Catanese, Jamie Phillips, Dereth","Mon,Wed",10:00,11:50
BIOS 211,21787,"Catanese, Jamie Phillips, Dereth",Mon,13:00,16:50
BIOS 211,21788,"Catanese, Jamie Phillips, Dereth",Tue,13:00,16:50
BIOS 211,21789,"Catanese, Jamie Phillips, Dereth",Wed,13:00,16:50
BIOS 211,21790,"Catanese, Jamie Phillips, Dereth",Thu,13:00,16:50
BIOS 211,21791,"Catanese, Jamie Phillips, Dereth",Fri,13:00,16:50
BIOS 212,21792,"Lefeldt, Nele",Tue,13:00,16:50
BIOS 212,21793,"Olmos, Joey",Wed,13:00,16:50
BIOS 213,24210,"Solomon, Scott",Tue,13:00,16:50
BIOS 213,24210,"Solomon, Scott",Mon,14:00,14:50
BIOS 271,24076,"Hartley, Maria Siemann, Evan",Thu,17:30,20:15
BIOS 301,21803,"Shamoo, Yousif Glasscock, Cameron","Mon,Wed,Fri",11:00,11:50
BIOS 302,21804,"Carson, Daniel","Mon,Wed,Fri",11:00,11:50
BIOS 311,21849,"Beason-Abmayr, Beth",Mon,13:00,16:59
BIOS 311,22291,"Beason-Abmayr, Beth",Tue,13:00,16:59
BIOS 311,24437,"Beason-Abmayr, Beth",Wed,13:00,16:59
BIOS 315,22955,"Lefeldt, Nele",Wed,09:00,12:00
BIOS 315,22956,"Lefeldt, Nele",Fri,09:00,12:00
BIOS 318,21851,"Ross, Cana",Mon,13:00,16:59
BIOS 318,21852,"Ross, Cana",Tue,13:00,16:59
BIOS 318,23468,"Ross, Cana",Wed,13:00,16:59
BIOS 321,21853,"Evans, Kory","Tue,Thu",14:30,15:45
BIOS 322,21854,"Johnson, Cassidy",Wed,13:30,17:29
BIOS 324,24438,"Olmos, Joey",Thu,13:00,15:00
BIOS 334,21856,"Egan, Scott","Mon,Wed,Fri",10:00,10:50
BIOS 340,21859,"Beason-Abmayr, Beth","Tue,Thu",09:25,10:40
BIOS 341,21861,"Phillips, Dereth","Tue,Thu",09:25,10:40
BIOS 344,21862,"Stewart, Charles","Tue,Thu",10:50,12:05
BIOS 368,21863,"Gustin, Michael","Tue,Thu",14:30,15:45
BIOS 370,23143,"Matthews, Kirstin Johnson, Alicia","Tue,Thu",14:30,15:45
BIOS 374,24445,"Kranz, Sven","Tue,Thu",09:25,10:40
BIOS 385,24447,"Iyer, Harini","Tue,Thu",09:25,10:40
BIOS 405,23469,"Bennett, Matthew","Tue,Thu",10:50,12:05
BIOS 412,24442,"Glasscock, Cameron",Thu,16:00,17:59
BIOS 423,23473,"Dunham, Amy","Tue,Thu",13:00,14:15
BIOS 424,22292,"de Moraes, Marcos","Tue,Thu",10:50,12:05
BIOS 442,23217,"Flynn, Jonathan Lefeldt, Nele","Wed,Fri",14:00,15:15
BIOS 443,21904,"Wagner, Daniel","Tue,Thu",13:00,14:15
BIOS 447,21906,"Wagner, Daniel Matthews, Kirstin","Tue,Thu",10:50,12:05
BIOS 450,22732,"Tao, Yizhi","Tue,Thu",16:00,17:15
BIOS 460,22294,"Uribe, Rosa","Tue,Thu",14:30,15:45
BIOS 495,22985,"Masiello, Carrie Dunham, Amy","Tue,Thu",09:25,10:40
BIOS 505,23471,"Bennett, Matthew","Tue,Thu",10:50,12:05
BIOS 522,21855,"Johnson, Cassidy",Wed,13:30,17:29
